"","Drug","Targets","Disease","Enrichment.biomarker","Marker.type","Biomarker.relationship","Biomarker.logical.conditions","Model","PMID","Article.title","Key.sentence","Pubmed.link","Note","drug_drugbank_standard","drug_pubchem","biomarker_ensembl_standard","diseases_EFO_MONDO_standard","biomarker_term","QC"
"50","NA",NA,"BREAST CANCER","miR-383-5p","gene expression","miR-383-5p
overexpression",NA,NA,"31903982","MicroRNA-383-5p acts as a potential prognostic biomarker and an inhibitor of tumor cell proliferation, migration, and invasion in breast cancer.","miR-383-5p may be a prognostic biomarker and therapeutic target for breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/31903982","No drug was mentioned in the abstract.","NA","56956252","NA","MONDO_0007254","MIR-383-5P GENE EXPRESSION MIR-383-5P
OVEREXPRESSION","failed biomarker"
"51","NA",NA,"BREAST CANCER","DNAJC 10(ERDJ 5)","gene expression","positive",NA,"mouse","31902119","Downregulation of DNAJC10 (ERDJ5) is associated with poor survival in breast cancer.","The results of this study indicate that DNAJC10 is a potential diagnostic / prognostic biomarker and tumor suppressor for breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/31902119","No drug was mentioned in the abstract.","NA","56956252","NA","MONDO_0007254","DNAJC 10(ERDJ 5) GENE EXPRESSION POSITIVE","failed biomarker"
"52","NA",NA,"BREAST CANCER","GALNT 6-LGALS3bp","protein expression","positive",NA,"cells","31894262","The GALNT6‑LGALS3BP axis promotes breast cancer cell growth.","The findings of the present study suggest that the GALNT6‑LGALS3BP axis is crucial for breast cancer cell proliferation and may be a therapeutic target and biomarker for mammary tumors.","https://www.ncbi.nlm.nih.gov/pubmed/31894262","No drug was mentioned in the abstract.","NA","56956252","NA","MONDO_0007254","GALNT 6-LGALS3BP PROTEIN EXPRESSION POSITIVE","failed biomarker"
"53","NA",NA,"TNBC","BRCA mutational status, HRD score and immune component of the tumor ecosystem","mutation，others","positive, positive","missing",NA,"32052646","Neoadjuvant therapy for triple-negative breast cancer: potential predictive biomarkers of activity and efficacy of platinum chemotherapy, PARP- and immune-checkpoint-inhibitors.","BRCA mutational status, HRD score and immune component of the tumor ecosystem have been explored as potential predictive biomarkers.","https://www.ncbi.nlm.nih.gov/pubmed/?term=32052646",NA,"NA","56956252","NA, NA","NA","BRCA MUTATIONAL STATUS MUTATION POSITIVE MISSING HRD SCORE AND IMMUNE COMPONENT OF THE TUMOR ECOSYSTEM OTHERS POSITIVE","failed biomarker,failed disease"
"54","CDK4/6 INHIBITORS","CDK4/6","HORMONE RECEPTOR-POSITIVE BREAST CANCER","CDK 7, CDK 8, CDK 9, CDK 12, CDK 13","gene expression","positive, positive, positive, positive","AND, AND, AND, AND","patients","32071145","Transcription-Associated Cyclin-Dependent Kinases as Targets and Biomarkers for Cancer Therapy.","Some studies now point to potential therapeutic opportunities by inhibiting the transcription-associated CDKs as well as therapeutic vulnerabilities with PARP inhibitors and immunotherapy in tumors deficient in these CDKs.","https://www.ncbi.nlm.nih.gov/pubmed/?term=32071145",NA,"NA","NA","NA, NA, NA, NA, NA","MONDO_0007254","failed","failed drug,failed biomarker,failed term"
"55","NA",NA,"BREAST CANCER","ABC","gene expression，polymorphism",NA,NA,"patients","32010961","Germline variant burden in multidrug resistance transporters is a therapy-specific predictor of survival in breast cancer patients.","Multidrug resistance transporters combine with more than 100 clinically relevant drugs and affect their handling and pharmacokinetics.","https://www.ncbi.nlm.nih.gov/pubmed/?term=32010961",NA,"NA","56956252","ENSG00000167972","MONDO_0007254","failed","failed term"
"56","BEVACIZUMAB",NA,"BREAST CANCER","HSP27","protein expression",NA,NA,"patients","31989465","HSP27 Expression as a Novel Predictive Biomarker for Bevacizumab: is it Cost Effective?","The results of this study suggested that testing for HSP27 expression before administering bevacizumab is not cost effective compared with treat-all with bevacizumab without testing.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31989465",NA,"DB00112","NA","ENSG00000169271","MONDO_0007254","HSP27 PROTEIN EXPRESSION NA","pass"
"57","PALBOCICLIB, RIBOCICLIB, ABEMACICLIB","CDK4/6","BREAST CANCER","CDK4，CDK6","protein expression","positive, positive","AND","patients","31909732","The Ongoing Search for Biomarkers of CDK4/6 Inhibitor Responsiveness in Breast Cancer.","This review summarizes the development status of CDK4 / 6i biomarker testing in clinical trials and clinical trials.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31909732",NA,"DB09073,DB11730,DB12001","11478676, 44631912, 46220502","ENSG00000135446, ENSG00000105810","MONDO_0007254","failed","failed term"
"58","TRASTUZUMAB",NA,"BREAST CANCER","ERBB2","protein expression","positive",NA,"patients","31895768","Long-term complete response to intrathecal trastuzumab in a patient with leptomeningeal carcinomatosis due to her2- overexpressing breast cancer: Case report.","In patients with HER2 ++ advanced breast cancer, intrathecal treatment with anti-HER2 therapy (trastuzumab) is feasible.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31895768",NA,"DB00072","3001322","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"59","CHEMOTHERAPY, TRASTUZUMAB, LAPATINIB",NA,"BREAST CANCER","Rbsig,ERBB2,HR","gene expression, protein expression, protein expression,","positive, positive, positive","AND, AND","patients","31853266","An RB-1 loss of function gene signature as a tool to predict response to neoadjuvant chemotherapy plus anti-HER2 agents: a substudy of the NeoALTTO trial (BIG 1-06).","pCR rate was significantly higher in patients with RBsig High tumours than those with RBsig Low (35% versus 18% respectively; p = 0.01).","https://www.ncbi.nlm.nih.gov/pubmed/?term=31853266",NA,"NA,DB00072,DB01259","94994, 3001322, 208908","NA, ENSG00000141736, ENSG00000168453","MONDO_0007254","RBSIG GENE EXPRESSION POSITIVE AND ERBB2 PROTEIN EXPRESSION POSITIVE AND HR PROTEIN EXPRESSION POSITIVE","failed biomarker"
"60","TRASTUZUMAB",NA,"ADVANCED GASTRIC CANCER","ERBB2 ","protein expression","positive",NA,"patients","31892554","Comparison of HER2 Status Before and After Trastuzumab-based Chemotherapy in Patients With Advanced Gastric Cancer.","HER2 expression can change after trastuzumab-based chemotherapy in patients with advanced HER2-positive gastric cancer.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31892554",NA,"DB00072","3001322","ENSG00000141736","MONDO_0001056","ERBB2 PROTEIN EXPRESSION POSITIVE","pass"
"61","NA",NA,"TRIPLE-NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2, BRCA","protein expression, protein expression, protein expression, mutation","negative, negative, negative, positive","MISSING, MISSING, MISSING","patients","32052646","Neoadjuvant therapy for triple-negative breast cancer: potential predictive biomarkers of activity and efficacy of platinum chemotherapy, PARP- and immune-checkpoint-inhibitors.","BRCA mutational status, HRD score and immune component of the tumor ecosystem have been explored as potential predictive biomarkers.","https://www.ncbi.nlm.nih.gov/pubmed/?term=32052646",NA,"NA","56956252","ENSG00000091831, ENSG00000082175, ENSG00000141736, ENSG00000012048","EFO_0005537","ESR1 PROTEIN EXPRESSION NEGATIVE MISSING PGR PROTEIN EXPRESSION NEGATIVE MISSING ERBB2 PROTEIN EXPRESSION NEGATIVE MISSING BRCA MUTATION POSITIVE","pass"
"62","PROPRANOLOL","β-adrenergic receptor","BREAST CANCER","β-adrenergic receptor","missing","positive",NA,NA,"32029438","Propranolol: What is BLOCKing Its Clinical Investigation in Breast Cancer?","Blockade of the β-adrenergic receptor signaling with propranolol, along with potential future combinatorial strategies, holds promise for reducing breast cancer progression and metastasis.","https://www.ncbi.nlm.nih.gov/pubmed/?term=32029438",NA,"DB00571","62882","NA","MONDO_0007254","Β-ADRENERGIC RECEPTOR MISSING POSITIVE","failed biomarker"
"63","NA",NA,"BREAST CANCER","DNA methylation","methylation","positive",NA,"patients","32019269","Computational Detection of Breast Cancer Invasiveness with DNA Methylation Biomarkers.","This study demonstrates DNA methylation as a potential biomarker to predict breast tumor invasiveness and as a possible parameter that could be included in the studies aiming to predict breast cancer aggressiveness.","https://www.ncbi.nlm.nih.gov/pubmed/?term=32019269",NA,"NA","56956252","NA","MONDO_0007254","DNA METHYLATION METHYLATION POSITIVE","failed biomarker"
"64","NA",NA,"TRIPLE NEGATIVE BREAST CANCER","BRCA","mutation","positive",NA,"patients","32013831","BRCA Mutational Status is a Promising Predictive Biomarker for Platinum-based Chemotherapy in Triple-Negative Breast Cancer.","With the emergence of genetic testing, several recent studies suggested mutations in breast cancer susceptibility gene (BRCA) in TNBC patients as important predictors of outcomes.","https://www.ncbi.nlm.nih.gov/pubmed/?term=32013831",NA,"NA","56956252","ENSG00000012048","EFO_0005537","BRCA MUTATION POSITIVE","pass"
"65","CAPECITABINE",NA,"TRIPLE NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2","protein expression, protein expression, protein expression","negative, negative, negative,","MISSING, MISSING","patients","32005747","Predictive biomarkers for adjuvant capecitabine benefit in early stage triple negative breast cancer in the FinXX clinical trial.","Genes and metagenes related to anti-tumor immunity, immune response and capecitabine activation could identify TNBC patients who are more likely to benefit from adjuvant capecitabine. ","https://www.ncbi.nlm.nih.gov/pubmed/?term=32005747",NA,"DB01101","60953","ENSG00000091831, ENSG00000082175, ENSG00000141736","EFO_0005537","ESR1 PROTEIN EXPRESSION NEGATIVE MISSING PGR PROTEIN EXPRESSION NEGATIVE MISSING ERBB2 PROTEIN EXPRESSION NEGATIVE","pass"
"66","TAMOXIFEN",NA,"BREAST CANCER","SPP1,
OPN","gene expression, protein expression","positive, positive","OR","patients","31996744","Evaluation of SPP1/osteopontin expression as predictor of recurrence in tamoxifen treated breast cancer.","OPN protein expression was not associated with risk of recurrence or with SPP1-gene expression, suggesting SPP1 mRNA a stronger prognostic marker candidate compared to tumor tissue OPN protein.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31996744",NA,"DB00675","2733526","ENSG00000118785, ENSG00000118785","MONDO_0007254","SPP1 GENE EXPRESSION POSITIVE OR OPN PROTEIN EXPRESSION POSITIVE","pass"
"67","TRASTUZUMAB",NA,"BREAST CANCER CELL LINE MODEL","BRAF,KRAS,
PIK3CA","mutation,mutation,mutation","positive, positive, positive","MISSING, MISSING, MISSING","cell line","31983154","BRAF, KRAS and PIK3CA Mutation and Sensitivity to Trastuzumab in Breast Cancer Cell Line Model.","BRAF, KRAS and PIK3CA Mutation and Sensitivity to Trastuzumab in Breast Cancer Cell Line Model.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31983154",NA,"DB00072","3001322","ENSG00000157764, ENSG00000133703, ENSG00000121879","MONDO_0007254","failed","failed term"
"68","ANTHRACYCLINES, TRASTUZUMAB",NA,"BREAST CANCER","hs-cTnT
NT-proBNP,
myeloperoxidase
placental growth factor, growth differentiation factor 15","protein expression,   protein expression, protein expression, protein expression, protein expression, protein expression","positive, positive, positive, positive, positive, positive","AND, AND, AND, AND","patients","31959034","Changes in Cardiovascular Biomarkers With Breast Cancer Therapy and Associations With Cardiac Dysfunction.","Conclusions Cardiovascular biomarkers may play an important role in CTRCD risk prediction in patients with breast cancer who receive cardiotoxic cancer therapy, particularly in those treated with sequential anthracycline and trastuzumab therapy. ","https://www.ncbi.nlm.nih.gov/pubmed/?term=31959034",NA,"NA,DB00072","NA, 3001322","NA, NA, ENSG00000130513","MONDO_0007254","failed","failed drug,failed biomarker,failed term"
"69","DOXORUBICIN",NA,"BREAST CANCER","Twist 1","gene expression","positive",NA,"patients","31942413","Gene Expression as a Biomarker for Predicting Primary Doxorubicin Resistance in Breast Cancer.","gene expression as a biomarker for predicting the response of breast tumors to chemo-therapeutic agent doxorubicin.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31942413",NA,"DB00997","443939","NA","MONDO_0007254","TWIST 1 GENE EXPRESSION POSITIVE","failed biomarker"
"70","TRASTUZUMAB",NA,"HER2-POSITIVE METASTATIC BREAST CANCER","ERBB2, CA15.3,
CEA","protein expression, protein expression, protein expression","positive, positive, positive,","AND, AND","patients","31910438","An updated evaluation of serum sHER2, CA15.3, and CEA levels as biomarkers for the response of patients with metastatic breast cancer to trastuzumab-based therapies.","Regular measurement of sHER2, CA15.3, and CEA levels is useful for predicting the therapeutic response and for monitoring HER2-targeted therapy in patients with HER2-positive metastatic breast cancer.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31910438",NA,"DB00072","3001322","ENSG00000141736, NA, ENSG00000105388","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE AND CA15.3 PROTEIN EXPRESSION POSITIVE AND CEA PROTEIN EXPRESSION POSITIVE","pass"
"71","NA",NA,"HER2-NEGATIVE BREAST CANCER","ERBB2","protein expression","negative","OR","patients","31907749","Evaluation of the 12-Gene Molecular Score and the 21-Gene Recurrence Score as Predictors of Response to Neo-adjuvant Chemotherapy in Estrogen Receptor-Positive, HER2-Negative Breast Cancer.","two commercial breast cancer prognostic scores were significant predictors of response to NaCT.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31907749",NA,"NA","56956252","ENSG00000141736","MONDO_0007254","failed","failed term"
"72","FAK INHIBITORS",NA,"TRIPLE-NEGATIVE BREAST CANCER","FAK","protein expression","positive",NA,"patients","31905966","Impact of FAK Expression on the Cytotoxic Effects of CIK Therapy in Triple-Negative Breast Cancer.","Our findings provide new insights into the cytotoxic effect of CIK cell therapy in TNBC treatment, and show that CIK cell therapy combined with FAK inhibitors may be a novel therapeutic strategy for patients with TNBC.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31905966",NA,"NA","NA","ENSG00000169398","EFO_0005537","FAK PROTEIN EXPRESSION POSITIVE","failed drug"
"73","CHOLECALCIFEROL, TAMOXIFEN",NA,"BREAST CANCER","VEGF-A, Ang-2,
Hif-1, high-sensitivity C-reactive protein ","protein expression, protein expression, protein expression, protein expression","positive, positive, positive, positive","AND, AND, AND","patients","31901710","Effects of cholecalciferol supplementation on serum angiogenic biomarkers in breast cancer patients treated with tamoxifen: A controlled randomized clinical trial.","Cholecalciferol supplementation achieved sufficient efficacy among patients with BC taking tamoxifen and could be effective in the reduction of angiogenic biomarkers particularly dependent on the infiltration status of the tumor to vessels. ","https://www.ncbi.nlm.nih.gov/pubmed/?term=31901710",NA,"DB00169,DB00675","5280795, 2733526","ENSG00000112715, ENSG00000091879, ENSG00000168209, NA","MONDO_0007254","VEGF-A PROTEIN EXPRESSION POSITIVE AND ANG-2 PROTEIN EXPRESSION POSITIVE AND HIF-1 PROTEIN EXPRESSION POSITIVE AND HIGH-SENSITIVITY C-REACTIVE PROTEIN PROTEIN EXPRESSION POSITIVE","pass"
"74","MISSING",NA,"BREAST CANCER","missing",NA,NA,NA,NA,"31897326","Predictive and Prognostic Roles of Pathological Indicators for Patients with Breast Cancer on Neoadjuvant Chemotherapy","This review summarizes and compares various predictive and prognostic indicators for patients who have received neoadjuvant chemotherapy, and analyzes their efficacy in different breast cancer subtypes.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31897326",NA,"NA","NA","ENSG00000170873","MONDO_0007254","MISSING NA NA","failed drug"
"75","MISSING",NA,"EARLY STAGE BREAST CANCER","missing",NA,NA,NA,NA,"31869667","Imperfect biomarkers for adjuvant chemotherapy in early stage breast cancer with good prognosis","To evaluate the ways in which the diffusion of biomarkers questions the autonomy of clinicians, we consider the case of chemotherapy prescription to women with early stage breast cancer and a good prognosis. ","https://www.ncbi.nlm.nih.gov/pubmed/?term=31869667",NA,"NA","NA","ENSG00000170873","MONDO_0007254","MISSING NA NA","failed drug"
"76","TRASTUZUMAB",NA,"HER 2+ AND
HER2-  BREAST CANCER","ERBB2","protein expression","positive/negative",NA,"patients","31867841","Monitoring treatment efficacy and resistance in breast cancer patients via circulating tumor DNA genomic profiling","In summary, ctDNA monitoring, particularly longitudinal analyses, provides valuable insights into the assessment of targeted therapy efficacy and gene alterations underlying trastuzumab resistance and chemotherapy resistance in HER2+ and HER2- BC patients, respectively.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31867841",NA,"DB00072","3001322","ENSG00000141736","MONDO_0007254","ERBB2 PROTEIN EXPRESSION POSITIVE/NEGATIVE","pass"
"77","PI3KI, ANTI-HER2 AGENTS, CHEMOTHERAPY, CDK4/6 INHIBITORS, MTOR INHIBITORS",NA,"ESTROGEN RECEPTOR-POSITIVE BREAST CANCER","PIK3CA","protein expression,
protein expression","positive",NA,"patients","31859350","Biomarkers of response and resistance to PI3K inhibitors in estrogen receptor-positive breast cancer patients and combination therapies involving PI3K inhibitors.","In this review, we discuss biomarkers of response and resistance to PI3K inhibitors (PI3Ki) in estrogen receptor-positive breast cancer","https://www.ncbi.nlm.nih.gov/pubmed/?term=31859350",NA,"NA,NA,NA,NA,NA","NA, NA, 94994, NA, NA","ENSG00000121879","EFO_1000649","failed","failed drug,failed term"
"78","MISSING",NA,"METASTATIC TRIPLE-NEGATIVE BREAST CANCER","CTCs","protein expression, protein expression,
protein expression, others","negative, negative,  negative, negative",NA,"patients","31849532","First-Line Doublet Chemotherapy for Metastatic Triple-Negative Breast Cancer: Circulating Tumor Cell Analysis of the tnAcity Trial.","Efficacy outcomes trended positively with chemotherapy-induced elimination of CTCs, suggesting that CTC clearance may predict the chemosensitivity of mTNBC tumors.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31849532",NA,"NA","NA","NA","MONDO_0007254","failed","failed drug,failed biomarker,failed term"
"79","MISSING",NA,"HR+ HER2- EARLY INVASIVE BREAST CANCER","ESR1, PGR, ERBB2, uPA/PAI-1, OncotypeDX®, MammaPrint®, PAM50,  EndoPredict®","protein expression, protein expression,
protein expression, missing, others, others,others,others","positive, positive, negative, positive, positive, positive, positive, positive","AND, AND, AND, AND","others","31849525","Decision of Adjuvant Systemic Treatment in HR+ HER2- Early Invasive Breast Cancer: Which Biomarkers Could Help?","Even though data currently available confirm the clinical validity of these biomarkers, there is a lack of data regarding clinical utility for most of them. ","https://www.ncbi.nlm.nih.gov/pubmed/?term=31849525",NA,"NA","NA","ENSG00000091831, ENSG00000082175, ENSG00000141736, ENSG00000142871, NA, NA, NA, NA","MONDO_0007254","failed","failed drug,failed term"
"80","BAY 1125976",NA,"BREAST CANCER","AKT","mutation","positive",NA,"patients","31835495","Phase 1 Dose Escalation Study of the Allosteric AKT Inhibitor BAY 1125976 in Advanced Solid Cancer-Lack of Association between Activating AKT Mutation and AKT Inhibition-Derived Efficacy.","Genetic analyses revealed additional mutations that could promote tumor cell growth despite the inhibition of AKT1/2.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31835495",NA,"NA","70817911","ENSG00000166971","MONDO_0007254","AKT MUTATION POSITIVE","pass"
"81","HDAC8 INHIBITOR",NA,"BREAST CANCER CELLS","HDAC8","protein expression","positive",NA,"cell line","31817161","Induction of Apoptosis and Autophagy in Breast Cancer Cells by a Novel HDAC8 Inhibitor","These data suggest the translational potential of HMC to be developed into a potential therapeutic agent for breast cancer therapy.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31817161",NA,"NA","NA","ENSG00000147099","MONDO_0007254","HDAC8 PROTEIN EXPRESSION POSITIVE","failed drug"
"82","PALBOCICLIB, RIBOCICLIB, ABEMACICLIB","CDK4/6","BREAST CANCER","CDK4, CDK6","protein expression, protein expression","positive, positive","AND","patients","31777590","Latest Overview of the Cyclin-Dependent Kinases 4/6 Inhibitors in Breast Cancer: The Past, the Present and the Future.","The CDK4/6 inhibitors application after the support of preclinic and clinic data will be helpful to provide other alternatively suitable strategies for different types of breast cancer patients.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31777590",NA,"DB09073,DB11730,DB12001","11478676, 44631912, 46220502","ENSG00000135446, ENSG00000105810","MONDO_0007254","CDK4 PROTEIN EXPRESSION POSITIVE AND CDK6 PROTEIN EXPRESSION POSITIVE","pass"
"83","NAPABUCASIN, TAMOXIFEN",NA,"ESTROGEN RECEPTOR-POSITIVE (ER+) BREAST CANCER","ESR1","protein expression","positive",NA,"cell line","31760402","Napabucasin Attenuates Resistance of Breast Cancer Cells to Tamoxifen by Reducing Stem Cell-Like Properties.","NP might be used as an adjuvant therapy for ER+ BC patients with TAM resistance.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31760402",NA,"DB12155,DB00675","10331844, 2733526","ENSG00000091831","MONDO_0007254","ESR1 PROTEIN EXPRESSION POSITIVE","pass"
"84","Β-BLOCKADE, PROPRANOLOL",NA,"BREAST CANCER","Snail/Slug, NF-Κb, AP-1","missing, missing, missing","positive,positive,positive","AND","patients","31754048","Preoperative β-Blockade with Propranolol Reduces Biomarkers of Metastasis in Breast Cancer: A Phase II Randomized Trial.","These results show that β-blockade reduces biomarkers associated with metastatic potential, and support the need for larger phase III clinical trials powered to detect the impact of β-blockade on cancer recurrence and survival.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31754048",NA,"NA,DB00571","NA, 62882","NA, NA, ENSG00000177606","MONDO_0007254","failed","failed drug,failed biomarker,failed term"
"85","PEMBROLIZUMAB",NA,"METASTATIC TRIPLE-NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2, PD-L1","protein expression, protein expression,  protein expression, protein expression","negative, negative, negative, positive","MISSING, MISSING, MISSING","patients","31747077","A phase 2 clinical trial assessing the efficacy and safety of pembrolizumab and radiotherapy in patients with metastatic triple-negative breast cancer.","The combination of pembrolizumab and RT was found to be safe and demonstrated encouraging activity in patients with poor-prognosis, metastatic, triple-negative breast cancer who were unselected for programmed death-ligand 1 expression.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31747077",NA,"DB09037","NA","ENSG00000091831, ENSG00000082175, ENSG00000141736, ENSG00000120217","MONDO_0007254","ESR1 PROTEIN EXPRESSION NEGATIVE MISSING PGR PROTEIN EXPRESSION NEGATIVE MISSING ERBB2 PROTEIN EXPRESSION NEGATIVE MISSING PD-L1 PROTEIN EXPRESSION POSITIVE","pass"
"86","PSAMMAPLIN A ANALOG",NA,"TRIPLE-NEGATIVE BREAST CANCER","H3K79,DOT1L
","protein expression, protein expression,  protein expression, methylation","positive, positive","AND","mouse","31720371","Targeting Histone Methyltransferase DOT1L by a Novel Psammaplin A Analog Inhibits Growth and Metastasis of Triple-Negative Breast Cancer.","We report here a new template of DOT1L inhibitor and suggest that targeting DOT1L-mediated H3K79 methylation by a novel PsA analog may be a promising strategy for the treatment of metastatic breast cancer patients.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31720371",NA,"NA","NA","NA, ENSG00000104885","EFO_0005537","failed","failed drug,failed biomarker,failed term"
"87","DOXORUBICIN, CYCLOPHOSPHAMIDE",NA,"TRIPLE-NEGATIVE BREAST CANCER","DDIR,sTILs","protein expression, protein expression,  protein expression, gene expression","positive, positive","AND","patients","31657982","Validation of the DNA Damage Immune Response Signature in Patients With Triple-Negative Breast Cancer From the SWOG 9313c Trial.","The prognostic role of sTILs and DDIR in early-stage TNBC was confirmed.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31657982",NA,"DB00997,DB00531","443939, 2907","NA, NA","EFO_0005537","failed","failed biomarker,failed term"
"88","NA",NA,"TRIPLE-NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2","protein expression, protein expression,  protein expression,","negative, negative, negative","MISSING, MISSING, MISSING","cell line","31655920","Molecular determinants of drug response in TNBC cell lines.","These findings demonstrate an integrated method to identify biomarkers of drug efficacy in TNBC where DNA predictions correlate poorly with drug response.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31655920",NA,"NA","56956252","ENSG00000091831, ENSG00000082175, ENSG00000141736","EFO_0005537","failed","failed term"
"89","MISSING",NA,"BREAST CANCER","GRP 78, 
BIK, NBK","protein expression, protein expression, protein expression","positive, positive, positive","AND, AND","patients","31635499","Correlation of the protein expression of GRP78 and BIK/NBK with prognostic markers in patients with breast cancer and neoadjuvant chemotherapy.","There is a potential prognostic value of GRP78 and BIK/NBK in the pathological response that merits further study addressing their interaction with other proteins","https://www.ncbi.nlm.nih.gov/pubmed/?term=31635499",NA,"NA","NA","NA, ENSG00000100290, ENSG00000100290","MONDO_0007254","GRP 78 PROTEIN EXPRESSION POSITIVE AND BIK PROTEIN EXPRESSION POSITIVE AND NBK PROTEIN EXPRESSION POSITIVE","failed drug,failed biomarker"
"90","MISSING",NA,"BREAST CANCER","microbiota","others","positive",NA,"patients","31628201","Neoadjuvant Chemotherapy Shifts Breast Tumor Microbiota Populations to Regulate Drug Responsiveness and the Development of Metastasis.","Breast tumor microbiota are modified by therapy and affects molecular signaling.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31628201",NA,"NA","NA","NA","MONDO_0007254","MICROBIOTA OTHERS POSITIVE","failed drug,failed biomarker"
"91","MISSING",NA,"HER2- EARLY BREAST CANCER","ESR1, PGR, ERBB2, FGFR1, MAP3K1","protein expression, protein expression, protein expression, amplification, 
mutation","positive, positive, negative, positive, positive","AND","patients","31620934","Association between FGFR1 copy numbers, MAP3K1 mutations, and survival in axillary node-positive, hormone receptor-positive, and HER2-negative early breast cancer in the PACS04 and METABRIC studies.","In axillary node-positive, HR+, and HER2- early BC, amplifications of FGFR1 gene were strongly associated with increased risk for distant disease, while mutations of MAP3K1 gene were significantly associated with decreased risk.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31620934",NA,"NA","NA","ENSG00000091831, ENSG00000082175, ENSG00000141736, ENSG00000077782, ENSG00000095015","MONDO_0007254","failed","failed drug,failed term"
"92","TRASTUZUMAB",NA,"HER2-POSITIVE BREAST CANCER","PAGES-HBC","protein expression, protein expression","positive, positive",NA,"patients","31618954","PD-1-Associated Gene Expression Signature of Neoadjuvant Trastuzumab-Treated Tumors Correlates with Patient Survival in HER2-Positive Breast Cancer.","We conclude that PAGES-HBC could be further developed as a prognostic predictor of trastuzumab response in HER2+ breast cancer patients and be potentially used as an alternative biomarker for anti-PD-1 therapy trials.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31618954",NA,"DB00072","3001322","NA","EFO_1000294","failed","failed biomarker,failed term"
"93","ATEZOLIZUMAB, NABPACLITAXEL",NA,"METASTATIC TRIPLE-NEGATIVE BREAST CANCER","ESR1, PGR, ERBB2, PD-L1","protein expression, protein expression, protein expression, protein expression","negative, negative, negative, positive","MISSING, MISSING, MISSING",NA,"31612573","Immunotherapy: The end of the ""dark age"" for metastatic triple-negative breast cancer?","With the demonstration of a statistically significant improvement of progression-free survival with the addition of atezolizumab to nab-paclitaxel in the first-line treatment of mTNBC, accompanied by a substantial overall survival benefit in the PD-L1-positive subgroup. ","https://www.ncbi.nlm.nih.gov/pubmed/?term=31612573",NA,"DB11595,NA","NA, NA","ENSG00000091831, ENSG00000082175, ENSG00000141736, ENSG00000120217","MONDO_0007254","ESR1 PROTEIN EXPRESSION NEGATIVE MISSING PGR PROTEIN EXPRESSION NEGATIVE MISSING ERBB2 PROTEIN EXPRESSION NEGATIVE MISSING PD-L1 PROTEIN EXPRESSION POSITIVE","pass"
"94","CDK 4/6 INHIBITORS",NA,"HR+MBC","ESR1, PGR","protein expression, protein expression","positive, positive","MISSING",NA,"31610139","A clinical evaluation of treatments that target cell cycle machinery in breast cancer.","In the Her2 positive subtype, the triple combination of anti Her2 therapies with CDK4/6 inhibitors and endocrine therapy seems to be a promising chemotherapy free approach.","https://www.ncbi.nlm.nih.gov/pubmed/?term=31610139",NA,"NA","NA","ENSG00000091831, ENSG00000082175","NA","ESR1 PROTEIN EXPRESSION POSITIVE MISSING PGR PROTEIN EXPRESSION POSITIVE","failed drug,failed disease"
